,id,name,gender,password,birth,account,district
0,1,zhang,male,lv23623600,2002-04-01,dcwel@pitt.edu,3
1,2,zhang,male,lv23623600,2002-04-01,58yn5@pitt.edu,3
2,3,zhang,male,lv23623600,2002-04-01,or36d@pitt.edu,3
3,4,zhang,male,lv23623600,2002-04-01,ftl7n@pitt.edu,3
4,5,zhang,male,lv23623600,2002-04-01,jgyxh@pitt.edu,3
5,6,zhang,male,lv23623600,2002-04-01,65sps@pitt.edu,3
6,7,zhang,male,lv23623600,2002-04-01,3a8n6@pitt.edu,3
7,8,zhang,male,lv23623600,2002-04-01,yrcug@pitt.edu,3
8,9,zhang,male,lv23623600,2002-04-01,hpahr@pitt.edu,3
9,10,zhang,male,lv23623600,2002-04-01,k3i6p@pitt.edu,3
10,11,zhang,male,lv23623600,2002-04-01,zz4gj@pitt.edu,3
11,12,zhang,male,lv23623600,2002-04-01,1b84a@pitt.edu,3
12,13,zhang,male,lv23623600,2002-04-01,uzlia@pitt.edu,3
13,14,zhang,male,lv23623600,2002-04-01,hhjro@pitt.edu,3
14,15,zhang,male,lv23623600,2002-04-01,2tazo@pitt.edu,3
15,16,zhang,male,lv23623600,2002-04-01,e5v1j@pitt.edu,3
16,17,zhang,male,lv23623600,2002-04-01,uukox@pitt.edu,3
17,18,zhang,male,lv23623600,2002-04-01,v9727@pitt.edu,3
18,19,zhang,male,lv23623600,2002-04-01,xvqrt@pitt.edu,3
19,20,zhang,male,lv23623600,2002-04-01,bt2vy@pitt.edu,3
20,21,zhang,male,lv23623600,2002-04-01,hutgw@pitt.edu,3
21,22,zhang,male,lv23623600,2002-04-01,1wre3@pitt.edu,3
22,23,zhang,male,lv23623600,2002-04-01,d9pxe@pitt.edu,3
23,24,zhang,male,lv23623600,2002-04-01,kkb4i@pitt.edu,3
24,25,zhang,male,lv23623600,2002-04-01,2vljc@pitt.edu,3
25,26,zhang,male,lv23623600,2002-04-01,iby2y@pitt.edu,3
26,27,zhang,male,lv23623600,2002-04-01,shnsq@pitt.edu,3
27,28,zhang,male,lv23623600,2002-04-01,m5tbi@pitt.edu,3
28,29,zhang,male,lv23623600,2002-04-01,1pyf2@pitt.edu,3
29,30,zhang,male,lv23623600,2002-04-01,7kmds@pitt.edu,3
30,31,zhang,male,lv23623600,2002-04-01,pnqcr@pitt.edu,3
31,32,zhang,male,lv23623600,2002-04-01,rg3n3@pitt.edu,3
32,33,zhang,male,lv23623600,2002-04-01,drtdh@pitt.edu,3
33,34,zhang,male,lv23623600,2002-04-01,obnpd@pitt.edu,3
34,35,zhang,male,lv23623600,2002-04-01,2ufk4@pitt.edu,3
35,36,zhang,male,lv23623600,2002-04-01,ikg1d@pitt.edu,3
36,37,zhang,male,lv23623600,2002-04-01,g7cjz@pitt.edu,3
37,38,zhang,male,lv23623600,2002-04-01,ogtrv@pitt.edu,3
38,39,zhang,male,lv23623600,2002-04-01,eumov@pitt.edu,3
39,40,zhang,male,lv23623600,2002-04-01,1i6ng@pitt.edu,3
40,41,zhang,male,lv23623600,2002-04-01,x5y2a@pitt.edu,3
41,42,zhang,male,lv23623600,2002-04-01,axdrx@pitt.edu,3
42,43,zhang,male,lv23623600,2002-04-01,7e87d@pitt.edu,3
43,44,zhang,male,lv23623600,2002-04-01,nnf7u@pitt.edu,3
44,45,zhang,male,lv23623600,2002-04-01,u7b1l@pitt.edu,3
45,46,zhang,male,lv23623600,2002-04-01,r9k1s@pitt.edu,3
46,47,zhang,male,lv23623600,2002-04-01,gwgub@pitt.edu,3
47,48,zhang,male,lv23623600,2002-04-01,nb8ze@pitt.edu,3
48,49,zhang,male,lv23623600,2002-04-01,w87el@pitt.edu,3
49,50,zhang,male,lv23623600,2002-04-01,tfl6z@pitt.edu,3
50,51,zhang,male,lv23623600,2002-04-01,pnkef@pitt.edu,3
51,52,zhang,male,lv23623600,2002-04-01,98fy4@pitt.edu,3
52,53,zhang,male,lv23623600,2002-04-01,uwp8k@pitt.edu,3
53,54,zhang,male,lv23623600,2002-04-01,16r6e@pitt.edu,3
54,55,zhang,male,lv23623600,2002-04-01,287vc@pitt.edu,3
55,56,zhang,male,lv23623600,2002-04-01,59hcv@pitt.edu,3
56,57,zhang,male,lv23623600,2002-04-01,jprma@pitt.edu,3
57,58,zhang,male,lv23623600,2002-04-01,3slzk@pitt.edu,3
58,59,zhang,male,lv23623600,2002-04-01,riywz@pitt.edu,3
